config,budget,floor,method,total_selected,mean_match_score,mean_coverage,mean_cov_per_min,mean_review_min,novelty_ratio,underfilled_jobs,obj_val,solve_time,gap,meta_score
exp_strict,65.0,0.4,exp_strict,450,0.739562638761472,0.9577777777777778,0.015738458983519353,61.62998222222222,0.6111111111111112,0,415.10662744266244,32.43259490001947,0.0009985791115698299,0.7083366606804321
coverage_focus,65.0,0.35,coverage_focus,450,0.6879916754693924,0.9577777777777778,0.016627696973189172,59.330365555555545,0.6288888888888889,0,433.0514139612265,13.541589600034058,0.0009654868204077712,0.6589431380606848
score_focus,65.0,0.45,score_focus,450,0.6898025403096337,0.9533333333333335,0.015725031466007598,61.550197777777775,0.6088888888888889,0,351.3299431393351,26.5746740999748,0.0009864580274634464,0.6576117550951842
default,65.0,0.4,default,450,0.6789489891307079,0.9577777777777778,0.016046383808584665,60.87499444444445,0.6155555555555555,0,387.83048510881855,24.220450099965092,0.0009975634819961892,0.650282254034078
balanced,65.0,0.38,balanced,450,0.6465923748365892,0.9577777777777778,0.015695281247421172,61.67641666666666,0.6355555555555555,0,359.55276867646495,20.979048200009856,0.0009986352930958582,0.6192918078990444
tight_budget,45.0,0.35,tight_budget,450,0.6344741592516551,0.9511111111111112,0.021848107454418397,43.5551,0.5977777777777777,0,367.1025716632448,49.459754100011196,0.0009654052971472596,0.6034554225771298
