n_resumes,n_jobs,num_pairs,solve_time_sec,status,gap,selected_pairs
100,20,2000,0.24230260000331327,2,0.00875071538599459,100
150,30,4500,0.49045230000047013,2,0.009987721477161432,150
200,40,8000,0.6808554999879561,2,0.009074043780104337,200
250,50,12500,1.221482599969022,2,0.008857208409460639,250
300,60,18000,2.3530439999885857,2,0.007154021024358295,300
400,75,30000,3.017180400027428,2,0.009956753962503324,375
500,90,45000,4.4297293000272475,2,0.006846293258515456,450
