resume_id,job_id,x_value,selected,pair_quality,review_minutes,redundancy_cluster
0,0,-0.0,0,0.26548829945257396,8.337499999999999,458
0,1,-0.0,0,0.33007219842177377,8.337499999999999,458
0,2,-0.0,0,0.37503339328366586,8.337499999999999,458
0,3,-0.0,0,0.1803790817781538,8.337499999999999,458
0,4,-0.0,0,0.366837834022936,8.337499999999999,458
0,5,-0.0,0,0.2845070866175958,8.337499999999999,458
0,6,-0.0,0,0.3888344977352673,8.337499999999999,458
0,7,-0.0,0,0.33715480496782835,8.337499999999999,458
0,8,-0.0,0,0.47996393213497013,8.337499999999999,458
0,9,-0.0,0,0.36592078966704833,8.337499999999999,458
0,10,-0.0,0,0.35803934834562734,8.337499999999999,458
0,11,-0.0,0,0.3678050806756744,8.337499999999999,458
0,12,-0.0,0,0.22710275137931582,8.337499999999999,458
0,13,-0.0,0,0.35997568118894074,8.337499999999999,458
0,14,-0.0,0,0.35716170013560244,8.337499999999999,458
0,15,-0.0,0,0.41001661637495135,8.337499999999999,458
0,16,-0.0,0,0.3474545704274359,8.337499999999999,458
0,17,-0.0,0,0.2957594530114715,8.337499999999999,458
0,18,-0.0,0,0.3390440597302873,8.337499999999999,458
0,19,-0.0,0,0.30998067490023756,8.337499999999999,458
0,20,-0.0,0,0.19112676420506008,8.337499999999999,458
0,21,-0.0,0,0.30245238002330843,8.337499999999999,458
0,22,-0.0,0,0.4159404986376405,8.337499999999999,458
0,23,-0.0,0,0.2807848784238848,8.337499999999999,458
0,24,-0.0,0,0.3804401714966361,8.337499999999999,458
0,25,-0.0,0,0.4008270823795084,8.337499999999999,458
0,26,-0.0,0,0.39658547436187985,8.337499999999999,458
0,27,-0.0,0,0.36329516071750656,8.337499999999999,458
0,28,-0.0,0,0.4630353592633763,8.337499999999999,458
0,29,-0.0,0,0.2633258773862197,8.337499999999999,458
0,30,-0.0,0,0.35043826321835464,8.337499999999999,458
0,31,-0.0,0,0.3655235920216726,8.337499999999999,458
0,32,-0.0,0,0.3428128911880486,8.337499999999999,458
0,33,-0.0,0,0.3431061327761385,8.337499999999999,458
0,34,-0.0,0,0.3803802384735634,8.337499999999999,458
0,35,-0.0,0,0.3797480235728424,8.337499999999999,458
0,36,-0.0,0,0.4433825355941979,8.337499999999999,458
0,37,-0.0,0,0.37910278093789573,8.337499999999999,458
0,38,-0.0,0,0.3660154009021708,8.337499999999999,458
0,39,-0.0,0,0.3526478380017134,8.337499999999999,458
0,40,-0.0,0,0.31742732207778257,8.337499999999999,458
0,41,-0.0,0,0.3749673470818272,8.337499999999999,458
0,42,-0.0,0,0.37800573259246145,8.337499999999999,458
0,43,-0.0,0,0.4288069433426561,8.337499999999999,458
0,44,-0.0,0,0.3896974900660275,8.337499999999999,458
0,45,-0.0,0,0.4179479410015392,8.337499999999999,458
0,46,-0.0,0,0.30355556671579775,8.337499999999999,458
0,47,-0.0,0,0.3108765244490448,8.337499999999999,458
0,48,-0.0,0,0.30404894299930085,8.337499999999999,458
0,49,-0.0,0,0.28752647769545847,8.337499999999999,458
0,50,-0.0,0,0.3287671270042688,8.337499999999999,458
0,51,-0.0,0,0.3163925744642721,8.337499999999999,458
0,52,-0.0,0,0.33311344888391137,8.337499999999999,458
0,53,-0.0,0,0.39824601123351244,8.337499999999999,458
0,54,-0.0,0,0.5339116095630105,8.337499999999999,458
0,55,-0.0,0,0.5108199343477116,8.337499999999999,458
0,56,-0.0,0,0.5412540471774075,8.337499999999999,458
0,57,1.0,1,0.6980686386349704,8.337499999999999,458
0,58,-0.0,0,0.5133847035706628,8.337499999999999,458
0,59,0.0,0,0.651915206038772,8.337499999999999,458
0,60,-0.0,0,0.3158722031805128,8.337499999999999,458
0,61,-0.0,0,0.31641750544049724,8.337499999999999,458
0,62,-0.0,0,0.291681456570563,8.337499999999999,458
0,63,-0.0,0,0.3033208843086529,8.337499999999999,458
0,64,-0.0,0,0.30143915983101044,8.337499999999999,458
0,65,-0.0,0,0.3210546322200304,8.337499999999999,458
0,66,-0.0,0,0.29143742693621977,8.337499999999999,458
0,67,-0.0,0,0.2324105952209059,8.337499999999999,458
0,68,-0.0,0,0.28006604394400003,8.337499999999999,458
0,69,-0.0,0,0.2820604371585191,8.337499999999999,458
0,70,-0.0,0,0.29660550493319005,8.337499999999999,458
0,71,-0.0,0,0.2859727336689162,8.337499999999999,458
0,72,-0.0,0,0.42876541266084334,8.337499999999999,458
0,73,-0.0,0,0.33765474392836226,8.337499999999999,458
0,74,-0.0,0,0.3879848063751242,8.337499999999999,458
0,75,-0.0,0,0.3735859315749555,8.337499999999999,458
0,76,-0.0,0,0.34541918551444806,8.337499999999999,458
0,77,-0.0,0,0.2831415913138601,8.337499999999999,458
0,78,-0.0,0,0.21528370128588806,8.337499999999999,458
0,79,-0.0,0,0.29086742868024845,8.337499999999999,458
0,80,-0.0,0,0.271208701001349,8.337499999999999,458
0,81,-0.0,0,0.35624727454254645,8.337499999999999,458
0,82,-0.0,0,0.2693924815590898,8.337499999999999,458
0,83,-0.0,0,0.29811039183337645,8.337499999999999,458
0,84,-0.0,0,0.4837165657649863,8.337499999999999,458
0,85,-0.0,0,0.18507544187201963,8.337499999999999,458
0,86,-0.0,0,0.4848071820632903,8.337499999999999,458
0,87,-0.0,0,0.38937210353774243,8.337499999999999,458
0,88,-0.0,0,0.35201989015661067,8.337499999999999,458
0,89,-0.0,0,0.2681103442284856,8.337499999999999,458
1,0,0.0,0,0.6557129509921642,11.109,73
1,1,-0.0,0,0.43164517195638336,11.109,73
1,2,-0.0,0,0.42194665310318136,11.109,73
1,3,0.0,0,0.5549985036326419,11.109,73
1,4,-0.0,0,0.3629312158186312,11.109,73
1,5,-0.0,0,0.2833415713265964,11.109,73
1,6,-0.0,0,0.3445711783803765,11.109,73
1,7,-0.0,0,0.21250438829987972,11.109,73
1,8,-0.0,0,0.36055877301228983,11.109,73
1,9,-0.0,0,0.15708443057733457,11.109,73
1,10,-0.0,0,0.30417795261275554,11.109,73
1,11,-0.0,0,0.14883961011562302,11.109,73
1,12,-0.0,0,0.31957348863404034,11.109,73
1,13,-0.0,0,0.46994466849105604,11.109,73
1,14,-0.0,0,0.26097950160151195,11.109,73
1,15,-0.0,0,0.3776424572506118,11.109,73
1,16,-0.0,0,0.43393701580143945,11.109,73
1,17,-0.0,0,0.38456609753967447,11.109,73
1,18,-0.0,0,0.48475096865671347,11.109,73
1,19,-0.0,0,0.198045419426788,11.109,73
1,20,-0.0,0,0.2472412819150573,11.109,73
1,21,-0.0,0,0.5039046963246762,11.109,73
1,22,-0.0,0,0.327491793168504,11.109,73
1,23,-0.0,0,0.2940890512122991,11.109,73
1,24,-0.0,0,0.39307170448819967,11.109,73
1,25,-0.0,0,0.4902136406090073,11.109,73
