resume_id,job_id
92,0
231,0
304,0
127,0
68,1
426,1
253,1
111,1
413,1
233,2
4,2
499,2
331,2
235,3
478,3
190,3
15,3
82,3
47,4
72,4
404,4
234,4
64,5
220,5
34,5
208,5
56,6
293,6
261,6
90,6
71,6
425,7
400,7
463,7
390,7
301,8
319,8
159,8
470,8
460,8
173,9
169,9
335,9
377,9
371,9
344,10
400,10
50,10
375,11
44,11
311,11
276,11
182,12
389,12
111,12
52,12
318,12
318,13
148,13
382,13
371,13
182,14
389,14
380,14
52,14
295,14
213,15
12,15
34,15
245,15
162,16
207,16
213,16
246,17
395,17
304,17
82,18
102,18
15,18
12,18
256,18
475,19
157,19
55,19
350,19
118,20
442,20
433,20
205,20
268,20
475,21
92,21
256,22
452,22
427,22
408,22
118,23
350,23
285,23
452,23
408,23
259,24
441,24
154,24
198,24
454,24
99,25
497,25
455,25
254,25
102,25
99,26
409,26
20,26
405,26
253,27
142,27
68,27
198,27
299,27
409,28
240,28
455,28
245,28
348,29
66,29
235,29
77,29
96,29
171,30
388,30
4,30
66,30
39,31
412,31
388,31
326,31
453,31
250,32
260,32
93,32
468,32
51,32
172,33
273,33
53,33
493,34
218,34
395,34
329,34
325,35
443,35
488,35
240,36
26,36
312,36
498,36
103,37
13,37
85,37
239,37
392,38
297,38
297,39
392,39
174,40
13,40
72,40
46,40
103,41
467,41
20,41
383,41
260,42
273,42
488,42
234,42
497,43
432,43
380,43
22,44
174,44
332,44
432,45
93,45
39,45
416,45
467,46
246,46
426,46
155,47
171,47
360,47
120,47
252,48
148,48
489,48
59,48
489,49
59,49
474,49
248,49
239,49
252,50
375,50
268,50
193,50
330,51
285,51
237,51
396,51
60,51
330,52
67,52
158,52
73,52
442,52
83,53
280,53
302,53
424,53
311,54
379,54
78,54
328,55
77,55
131,55
367,55
63,56
328,56
291,56
376,56
393,57
367,57
0,57
169,57
170,57
63,58
291,58
32,58
387,58
97,58
5,59
346,59
393,59
65,59
376,59
162,60
247,60
155,60
347,60
190,61
499,61
412,61
269,62
85,62
211,62
122,62
125,62
214,63
478,63
299,63
258,63
453,63
233,64
214,64
331,64
374,64
220,65
207,65
269,65
482,66
430,66
161,66
126,66
443,67
420,67
120,67
191,67
281,68
70,68
138,68
277,68
206,68
430,69
158,69
482,70
127,70
53,70
70,70
281,70
236,71
427,71
157,71
24,71
125,71
218,72
133,72
280,72
405,73
83,73
211,73
472,73
163,73
321,74
415,74
206,74
416,74
192,75
398,75
312,75
54,75
139,76
48,76
293,76
387,76
325,77
16,77
80,77
414,77
277,78
18,78
161,78
40,78
287,78
419,79
9,79
126,79
23,79
216,79
419,80
374,80
194,80
216,80
23,80
221,81
172,81
420,81
287,82
138,82
413,82
194,82
440,82
468,83
425,83
332,83
78,83
28,84
259,84
404,84
362,84
236,84
254,85
445,85
146,85
223,85
51,85
320,86
223,86
303,87
329,87
266,87
445,87
373,87
192,88
320,88
137,88
146,89
303,89
335,89
