shortlist_size,review_budget_minutes,coverage_bonus_weight,min_score_floor,min_weighted_coverage_ratio,solver_status,objective_value,mean_selected_count,mean_avg_score,mean_coverage_rate,mean_weighted_coverage_rate,jobs_underfilled,solve_time_s
5,25,0.08,0.3,0.45,optimal,87.13592292284885,4.7,0.5827712886385428,0.7877777777777778,0.7794922331949127,8,0.2198655999964103
5,25,0.08,0.3,0.55,optimal,86.16004434119932,4.666666666666667,0.5848746947203627,0.7933333333333333,0.7847095934458506,9,0.2179894000000786
5,25,0.08,0.35,0.45,optimal,86.0485488788322,4.666666666666667,0.5818236540738945,0.7905555555555556,0.7821009000118736,9,0.26252620000741445
5,25,0.08,0.35,0.55,optimal,85.98483718067698,4.666666666666667,0.5862643780847284,0.7822222222222224,0.7732837906257416,9,0.31335179999587126
5,25,0.08,0.4,0.45,optimal,85.8033918335164,4.666666666666667,0.5796855721229893,0.7850000000000001,0.7771357688161178,9,0.2059229000005871
5,25,0.08,0.4,0.55,optimal,85.12769403698242,4.633333333333334,0.5830121757901581,0.7905555555555558,0.7828990753540115,10,0.21768639999208972
5,25,0.12,0.3,0.45,optimal,90.27858214781847,4.633333333333334,0.5878022451251794,0.8155555555555556,0.80829005826882,9,0.17519629999878816
5,25,0.12,0.3,0.55,optimal,90.66665773393896,4.666666666666667,0.5862439209478926,0.8155555555555556,0.8080081021045109,8,0.19068369999877177
5,25,0.12,0.35,0.45,optimal,89.92298625929499,4.633333333333334,0.5820856092130892,0.8155555555555555,0.8080674827521268,10,0.28640829998767003
5,25,0.12,0.35,0.55,optimal,90.08178231513837,4.633333333333334,0.5872025347075296,0.8155555555555556,0.8080081021045109,9,0.1941878000216093
5,25,0.12,0.4,0.45,optimal,89.6921861639224,4.6,0.5845884497856072,0.8211111111111112,0.8137835716887033,11,0.16593439999269322
5,25,0.12,0.4,0.55,optimal,89.12536988952048,4.6,0.5840705241645099,0.8155555555555556,0.8077824805812294,11,0.2954565999971237
5,25,0.18,0.3,0.45,optimal,96.47458407962652,4.633333333333334,0.583200335315401,0.8155555555555557,0.8086588399709037,10,0.16725009999936447
5,25,0.18,0.3,0.55,optimal,96.19520232192608,4.633333333333334,0.584603077160266,0.798888888888889,0.7895823163455723,10,0.29637060000095516
5,25,0.18,0.35,0.45,optimal,95.98437346567098,4.633333333333334,0.5814203385905812,0.8100000000000002,0.8029478889098929,9,0.35660090000601485
5,25,0.18,0.35,0.55,optimal,96.08462589125551,4.633333333333334,0.5884569856036269,0.81,0.8019450463243978,9,0.20183999999426305
5,25,0.18,0.4,0.45,optimal,96.09094586368018,4.6,0.5899166353388187,0.8155555555555557,0.8071677681831159,10,0.19399599998723716
5,25,0.18,0.4,0.55,optimal,95.07294460932259,4.6,0.5822688037485585,0.81,0.8011666770756418,11,0.21832770001492463
5,35,0.08,0.3,0.45,optimal,93.49685987397368,4.8,0.6018557753471032,0.8044444444444445,0.7969089019401736,4,0.13527919998159632
5,35,0.08,0.3,0.55,optimal,92.9253930524853,4.8,0.600238219224009,0.8155555555555556,0.8075494677417308,5,0.10299889999441803
5,35,0.08,0.35,0.45,optimal,93.03759762153517,4.8,0.599244343259464,0.8155555555555555,0.8079611106686305,5,0.09418149999692105
5,35,0.08,0.35,0.55,optimal,93.98169867566051,4.833333333333333,0.6008909120283688,0.8155555555555556,0.8075494677417308,4,0.09037439999519847
5,35,0.08,0.4,0.45,optimal,93.43539853357225,4.8,0.6010732005577564,0.8211111111111112,0.8133882248063082,5,0.09536420000949875
5,35,0.08,0.4,0.55,optimal,92.2194084485896,4.766666666666667,0.6001900473837801,0.8211111111111112,0.8133882248063082,6,0.100957600021502
5,35,0.12,0.3,0.45,optimal,96.92296092259194,4.766666666666667,0.6015735347706744,0.8388888888888888,0.8328235811739663,6,0.08845400001155213
5,35,0.12,0.3,0.55,optimal,97.9594539748063,4.866666666666666,0.5942089536230657,0.8077777777777778,0.7995745682841575,3,0.12048450001748279
5,35,0.12,0.35,0.45,optimal,98.23155373168146,4.833333333333333,0.5981746363198401,0.8238888888888888,0.8168096819122997,4,0.12269789999118075
5,35,0.12,0.35,0.55,optimal,98.66262841901512,4.866666666666666,0.5955929727082591,0.8266666666666667,0.8194252807234899,3,0.10471169999800622
5,35,0.12,0.4,0.45,optimal,96.29622434858143,4.733333333333333,0.602272677773127,0.8322222222222223,0.8252094217338882,7,0.10736650001490489
5,35,0.12,0.4,0.55,optimal,96.37818492697825,4.766666666666667,0.5971397779223911,0.8322222222222223,0.8252094217338882,6,0.12210079998476431
5,35,0.18,0.3,0.45,optimal,104.78906727845433,4.8,0.6013887989983308,0.8444444444444446,0.8386363383756125,5,0.13653570000315085
5,35,0.18,0.3,0.55,optimal,103.91353385576188,4.8,0.5977120587051326,0.8388888888888888,0.8326479970931534,5,0.1398013000143692
5,35,0.18,0.35,0.45,optimal,105.5051950394006,4.833333333333333,0.5992857474507386,0.8444444444444446,0.8386363383756125,4,0.11712629999965429
5,35,0.18,0.35,0.55,optimal,104.64298986094425,4.866666666666666,0.5906888698482871,0.8333333333333334,0.82699658423994,3,0.11215349999838509
5,35,0.18,0.4,0.45,optimal,103.1400181406169,4.766666666666667,0.5956565299086282,0.8388888888888889,0.8325135385997581,6,0.13410850000218488
5,35,0.18,0.4,0.55,optimal,103.39705647178677,4.766666666666667,0.5997850047148342,0.8388888888888889,0.8325135385997581,6,0.10728340002242476
10,25,0.08,0.3,0.45,optimal,40.88327946399348,4.933333333333334,0.5878277515477689,0.7711111111111112,0.7623620790461837,30,1.7426731000014115
10,25,0.08,0.3,0.55,optimal,41.135166665535756,4.966666666666667,0.5766709885779202,0.7905555555555556,0.7830709357220703,30,1.880196199985221
10,25,0.08,0.35,0.45,optimal,41.428018966800266,4.966666666666667,0.5788141795669033,0.785,0.7760878729948127,30,1.5255649000173435
10,25,0.08,0.35,0.55,optimal,40.864544825447574,4.933333333333334,0.5820748810282618,0.7905555555555558,0.782187784033192,30,2.1828422999824397
10,25,0.08,0.4,0.45,optimal,40.37038776856577,4.9,0.5848999513532583,0.7877777777777779,0.7796094347415926,30,1.6915182000084314
10,25,0.08,0.4,0.55,optimal,40.40806929175253,4.933333333333334,0.5774905970263547,0.7766666666666667,0.7671369694224622,30,1.3824677999946289
10,25,0.12,0.3,0.45,optimal,45.1898098518984,4.933333333333334,0.5821056725949559,0.7933333333333333,0.7849770549696888,30,1.3341522999980953
10,25,0.12,0.3,0.55,optimal,44.753723074958906,4.933333333333334,0.579423638751176,0.7988888888888891,0.7915357523795556,30,1.3338388999982271
10,25,0.12,0.35,0.45,optimal,44.73682985012059,4.9,0.5844102281337726,0.81,0.8027281216664424,30,1.7523474000045098
