method,total_pairs_selected,mean_selected_score,mean_review_minutes_per_job,mean_selected_per_job,mean_coverage_rate,mean_weighted_coverage_rate,ndcg_at_k,simpson_diversity,redundancy_uniqueness,coverage_per_review_min,jobs_underfilled,eligible_pairs
MILP,141,0.5786665295882066,23.69958333333333,4.7,0.8155555555555556,0.8080583028375693,0.8685364473135837,0.9253292806484296,0.5602836879432624,0.15095600880465512,8,805
Greedy,119,0.6072290938817642,23.248016666666665,3.966666666666667,0.65,0.6367071196983026,0.794923266631327,0.9219484403931064,0.5798319327731093,0.11505768199981768,20,805
ScoreOnly,148,0.6618318256520003,33.038733333333326,4.933333333333334,0.758888888888889,0.7478583195632911,0.9947043261343465,0.9027394741680456,0.3581081081081081,0.10014321489305239,1,805
